Product Name,Product Price,Review
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",999,4.0
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",599,4.1
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
"Microflash Air Buds Pro E35 50Hrs Battery Life, High Ba...",599,4.0
"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...",899,4.1
"Bose QUIETCOMFORT EARBUDS,WW Bluetooth",15990,4.1
"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4.0
"SONY WF-C700N Lightest TWS NC 20Hr battery, In-Ear, 10 ...",6990,4.1
"Noise Pop buds with 50 Hrs of playtime, Quad Mic with E...",899,3.9
"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",599,4.0
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
"moto buds with Hi-Res Audio, Large 12.4mm driver, 42 hr...",1999,4.0
"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...",999,4.0
"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...",1299,3.8
"boAt Airdopes 191G w/ Dual Drivers, 30 HRS Playback, Qu...",999,4.0
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",799,4.0
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"TRIGGR Apex S2 with Dual Pairing, 60H Battery, Quad Mic...",999,4.0
"Mivi SuperPods Opera ANC earbuds [Flagship Launch], Hi-...",1999,4.8
"Mivi SuperPods Opera earbuds [Flagship Launch], Hi-res ...",1499,4.8
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",699,3.8
"truke Buds S2 Lite with Quad-Mic ENC, 48H Playtime, Mad...",699,3.9
"Nu Republic Epic X3 with Upto 48 hrs Playtime, X-Bass® ...",799,4.1
OnePlus Buds Z2 with Active Noise cancellation Bluetoot...,3999,4.2
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",749,4.0
"TRIGGR Apex S1 with Dual Pairing, 100H Battery, Quad Mi...",799,4.0
"Number Super Buds GT M9 Gaming TWS Earbuds, 60Hr Playba...",1099,3.9
"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...",1499,4.1
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
